,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,e1,e2,e3,f1,f2,f3,g1,g2,g3,h1,h2,h3,i1,i2,i3
e2,0.60675864,0.632131681,0.63524719,0.462606141,0.616434527,0.508547494,0.628602567,0.626511313,0.574550825,0.508063673,0.570441738,0.400937685,0.128851158,0,0.560693988,0.627407446,0.661376223,0.661181331,0.158257197,0.094727967,0.601095765,0.592180681,0.622032421,0.488744081,0.516213904,0.631955136,0.586316923
e3,0.095099378,0.103913473,0.104063911,0.145791265,0.091635225,0.09142354,0.200769997,0.098919836,0.16542456,0.148907929,0.061482483,0.180774396,0.66469939,0.560693988,0,0.210933616,0.227654447,0.214695304,0.609481101,0.502788002,0.089621203,0.098185665,0.106733632,0.129769988,0.235197385,0.241413393,0.243844679
f1,0.162690341,0.19947354,0.183195541,0.273130469,0.187759197,0.225050024,0.100399009,0.196417307,0.139517372,0.235863025,0.209115207,0.306476624,0.732482784,0.627407446,0.210933616,0,0.115062145,0.090680171,0.666848212,0.571709468,0.164479202,0.154533568,0.170653364,0.232725684,0.192812711,0.150011029,0.155089032
f2,0.186507392,0.182927851,0.182635058,0.298161515,0.19722133,0.237683795,0.091578496,0.192326219,0.127241518,0.274755219,0.230711931,0.326029741,0.769482688,0.661376223,0.227654447,0.115062145,0,0.083481414,0.704688523,0.604414119,0.164801015,0.16583681,0.171997383,0.246962835,0.207775349,0.139606538,0.139352625
f3,0.165777214,0.173251654,0.16282835,0.28469893,0.176194155,0.229479523,0.116390259,0.177289757,0.126059571,0.253721164,0.210621089,0.317758347,0.767583096,0.661181331,0.214695304,0.090680171,0.083481414,0,0.700755334,0.604357805,0.154589207,0.153656846,0.156919573,0.236105084,0.214953356,0.143852895,0.166781727
g1,0.655242875,0.68242998,0.684744845,0.510924731,0.665740421,0.559735991,0.6742792,0.675189385,0.621984814,0.552743213,0.61949578,0.450949337,0.164105651,0.158257197,0.609481101,0.666848212,0.704688523,0.700755334,0,0.186776805,0.648319388,0.639804099,0.669966844,0.537438279,0.559600933,0.676368779,0.629013859
g2,0.546347107,0.571902375,0.575001418,0.405548804,0.556395077,0.448885796,0.574150079,0.567101339,0.521020744,0.452174764,0.510639473,0.343531963,0.188742542,0.094727967,0.502788002,0.571709468,0.604414119,0.604357805,0.186776805,0,0.538530605,0.529889805,0.560573145,0.427998955,0.462561374,0.577721793,0.53531656
g3,0.088408367,0.104002681,0.08164507,0.18274122,0.075668184,0.129361879,0.164024109,0.091099923,0.15281188,0.177303773,0.096122761,0.227894162,0.706800599,0.601095765,0.089621203,0.164479202,0.164801015,0.154589207,0.648319388,0.538530605,0,0.065857817,0.061121181,0.141119924,0.218620228,0.195449072,0.212867641
h1,0.084010646,0.096831157,0.083465413,0.170894276,0.08246167,0.124496258,0.135010199,0.081651923,0.132917206,0.167428387,0.090875168,0.226984913,0.699087822,0.592180681,0.098185665,0.154533568,0.16583681,0.153656846,0.639804099,0.529889805,0.065857817,0,0.06238837,0.138206546,0.212614466,0.196724002,0.199190442
h2,0.088631582,0.08301721,0.066408987,0.186240006,0.063588598,0.146057817,0.157342262,0.063657183,0.162507646,0.18018786,0.097981417,0.248802417,0.728497169,0.622032421,0.106733632,0.170653364,0.171997383,0.156919573,0.669966844,0.560573145,0.061121181,0.06238837,0,0.154703873,0.238692493,0.205672924,0.228845221
h3,0.174448515,0.185590001,0.176531654,0.168606071,0.157095069,0.103737839,0.226825007,0.181764294,0.161482103,0.176159976,0.131542521,0.130318008,0.596185166,0.488744081,0.129769988,0.232725684,0.246962835,0.236105084,0.537438279,0.427998955,0.141119924,0.138206546,0.154703873,0,0.176704339,0.242465772,0.221553701
i1,0.245041086,0.269599498,0.263382765,0.19783754,0.24943456,0.185488879,0.193963545,0.268442836,0.151266088,0.218264553,0.240786955,0.20589904,0.624798203,0.516213904,0.235197385,0.192812711,0.207775349,0.214953356,0.559600933,0.462561374,0.218620228,0.212614466,0.238692493,0.176704339,0,0.171822449,0.14569108
i2,0.204605334,0.21794355,0.208905716,0.31677532,0.205859106,0.253395181,0.141413274,0.219259289,0.141710178,0.29693919,0.235861244,0.307032162,0.741467172,0.631955136,0.241413393,0.150011029,0.139606538,0.143852895,0.676368779,0.577721793,0.195449072,0.196724002,0.205672924,0.242465772,0.171822449,0,0.119651025
i3,0.231912403,0.246050518,0.243618079,0.285414102,0.243014972,0.221177684,0.122151221,0.248704056,0.122493485,0.267695935,0.250376515,0.27303091,0.695502354,0.586316923,0.243844679,0.155089032,0.139352625,0.166781727,0.629013859,0.53531656,0.212867641,0.199190442,0.228845221,0.221553701,0.14569108,0.119651025,0
